Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1,Tipo de cliente,Semana
2021-06-26,20.49878688167955,776.812690421259,380.2254116299906,1020042,,Centro Norte,Tradicional,25
2021-06-22,1662.4932720385605,4217.903632117943,2955.903664929202,1020027,,Centro Norte,Tradicional,25
2021-06-23,1794.7040251220837,4423.78052673972,3108.783315084933,1020027,,Centro Norte,Tradicional,25
2021-06-24,2608.4533754132626,5242.474179922412,3926.7134090319187,1020027,,Centro Norte,Tradicional,25
2021-06-25,2121.226204767161,4777.273034843017,3474.3150978368203,1020027,,Centro Norte,Tradicional,25
2021-06-26,908.6683328703433,3413.542254343169,2146.354727811655,1020027,,Centro Norte,Tradicional,25
2021-06-22,3710.5910182594866,9949.769876045968,6656.671813960709,1020013,,Centro Norte,Tradicional,25
2021-06-23,4771.804627573461,10965.883063627307,7811.470875915252,1020013,,Centro Norte,Tradicional,25
2021-06-24,4502.3377565012615,10608.487895081304,7569.743009252208,1020013,,Centro Norte,Tradicional,25
2021-06-25,5402.435586098925,11363.388242231229,8391.145483718177,1020013,,Centro Norte,Tradicional,25
2021-06-26,1163.6602407429093,7089.902494024293,4264.962510777432,1020013,,Centro Norte,Tradicional,25
2021-06-22,3115.972410712187,6213.885847720295,4711.645541916321,1020010,,Centro Norte,Tradicional,25
2021-06-23,3641.293961186798,6689.476088315243,5123.22899130728,1020010,,Centro Norte,Tradicional,25
2021-06-24,3392.5104821853265,6627.008247403202,5064.111414050212,1020010,,Centro Norte,Tradicional,25
2021-06-25,3863.8935368005036,6862.294253398403,5372.902266961442,1020010,,Centro Norte,Tradicional,25
2021-06-26,2424.586778765147,5596.096410244155,4050.020627946873,1020010,,Centro Norte,Tradicional,25
2021-06-22,-15.495189653849229,2285.6651957573217,1193.519219842103,1020003,,Centro Norte,Tradicional,25
2021-06-23,164.8094018316335,2458.7266989746868,1320.6477845175593,1020003,,Centro Norte,Tradicional,25
2021-06-24,713.4707956200191,3031.266939716845,1880.6809095164244,1020003,,Centro Norte,Tradicional,25
2021-06-25,514.5059068354184,2744.27502412269,1692.0464101258506,1020003,,Centro Norte,Tradicional,25
2021-06-26,121.30185567227143,2369.302788265326,1227.5758025167509,1020003,,Centro Norte,Tradicional,25
2021-06-22,1180.854105196158,3586.218646137165,2424.0277238840617,1020001,,Centro Norte,Tradicional,25
2021-06-23,1268.6983907905285,3687.4852947526315,2510.893569026427,1020001,,Centro Norte,Tradicional,25
2021-06-24,1758.7774996060334,4048.845050972257,2936.059241629214,1020001,,Centro Norte,Tradicional,25
2021-06-25,1892.8720855714691,4246.393350761867,3096.4916161210194,1020001,,Centro Norte,Tradicional,25
2021-06-26,919.1288020276537,3232.4948659969223,2098.587496046488,1020001,,Centro Norte,Tradicional,25
2021-06-22,-993.718408886753,1875.4444772768668,514.5066499375089,1010695,,Centro Norte,Tradicional,25
2021-06-23,-1095.9752735527597,1779.2849270310214,368.53519243435755,1010695,,Centro Norte,Tradicional,25
2021-06-24,-758.6550027209319,2099.7597625710328,695.9570010886383,1010695,,Centro Norte,Tradicional,25
2021-06-25,-889.6910813223443,1971.0911598634016,584.6688431270171,1010695,,Centro Norte,Tradicional,25
2021-06-26,-1181.083288828138,1496.6523699930767,137.9768224064984,1010695,,Centro Norte,Tradicional,25
2021-06-22,364.2867860964329,4297.792012955942,2473.300978263237,1010267,,Centro Norte,Tradicional,25
2021-06-23,392.0977891169041,4122.7616444293635,2194.482580528416,1010267,,Centro Norte,Tradicional,25
2021-06-24,790.4323684845948,4523.869585508861,2709.449032818038,1010267,,Centro Norte,Tradicional,25
2021-06-25,1124.921920836944,4701.256640590053,2930.1479203022336,1010267,,Centro Norte,Tradicional,25
2021-06-26,-199.99024457305666,3411.519611126822,1649.1531631794621,1010267,,Centro Norte,Tradicional,25
2021-06-22,11497.927995704917,21959.468428446988,16871.757456474286,1010078,,Centro Norte,Tradicional,25
2021-06-23,14130.147156080953,24176.928244461462,19299.502125756753,1010078,,Centro Norte,Tradicional,25
2021-06-24,16787.42822403534,27261.27923384623,21745.275762803725,1010078,,Centro Norte,Tradicional,25
2021-06-25,19537.558520109098,30443.95325414303,25096.60249157101,1010078,,Centro Norte,Tradicional,25
2021-06-26,8310.23155968324,18941.3458291441,13742.686166706666,1010078,,Centro Norte,Tradicional,25
2021-06-22,-79.97290431496334,1254.5149751061483,610.8129208869856,1010077,,Centro Norte,Tradicional,25
2021-06-23,77.61912813585728,1386.089965481265,732.0643870845335,1010077,,Centro Norte,Tradicional,25
2021-06-24,397.0992753302385,1668.7485347681225,1000.6619168421328,1010077,,Centro Norte,Tradicional,25
2021-06-25,139.55807476325168,1438.8378774694017,787.4282588339734,1010077,,Centro Norte,Tradicional,25
2021-06-26,-272.44679461013754,980.914689562471,350.58744932635074,1010077,,Centro Norte,Tradicional,25
2021-06-22,296.67413295763566,7125.768271317523,3669.071379160425,1010048,,Centro Norte,Tradicional,25
2021-06-23,1611.240033258962,8229.730951250378,4952.801940332824,1010048,,Centro Norte,Tradicional,25
