Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Sector,Tipo de cliente
2021-06-12,8417.064460057165,17480.29943915358,13360.443015284558,1020253,Cerdo,Grandes Clientes
2021-06-13,1915.953226076722,11089.94053366505,6303.194323440183,1020253,Cerdo,Grandes Clientes
2021-06-14,5825.259897289983,14895.116715677748,10386.701704543422,1020253,Cerdo,Grandes Clientes
2021-06-15,8225.795016851178,16929.737744394886,12425.170827908025,1020253,Cerdo,Grandes Clientes
2021-06-16,9478.488584039775,18327.999892038628,13969.462669907227,1020253,Cerdo,Grandes Clientes
2021-06-17,10359.855660668922,19644.24275087434,14928.00438479317,1020253,Cerdo,Grandes Clientes
2021-06-11,3279.6768643618416,8457.776140775175,5913.521243376687,1020042,Cerdo,Grandes Clientes
2021-06-12,1391.4855724325953,6330.946180739486,3959.985931348461,1020042,Cerdo,Grandes Clientes
2021-06-13,-5819.1215921052935,-790.7254326659074,-3167.9923971716407,1020042,Cerdo,Grandes Clientes
2021-06-14,305.30254439701105,5174.764416723609,2728.2809880595632,1020042,Cerdo,Grandes Clientes
2021-06-15,2205.05843340622,7097.464012646527,4738.957760880717,1020042,Cerdo,Grandes Clientes
2021-06-16,1846.278243726953,6809.197170790743,4311.90656320624,1020042,Cerdo,Grandes Clientes
2021-06-17,2401.6516208692415,7073.586421549739,4810.479703569279,1020042,Cerdo,Grandes Clientes
2021-06-11,15567.354837296125,27597.167506507154,21556.418992650484,1020027,Cerdo,Grandes Clientes
2021-06-12,11586.675575877005,23801.287986234445,17638.863755028164,1020027,Cerdo,Grandes Clientes
2021-06-13,-3243.0153781380445,9351.697899882962,2702.264349898094,1020027,Cerdo,Grandes Clientes
2021-06-14,6448.39346648673,18464.59927157635,12531.544889705667,1020027,Cerdo,Grandes Clientes
2021-06-15,13010.809036300925,25027.961591983447,18775.04274329317,1020027,Cerdo,Grandes Clientes
2021-06-16,13443.785395902827,25658.66603121128,19786.974300389025,1020027,Cerdo,Grandes Clientes
2021-06-17,14192.218587354713,26913.13495363056,20560.700112216757,1020027,Cerdo,Grandes Clientes
2021-06-11,44377.19636838381,75186.6444359601,58797.87862673249,1020013,Cerdo,Grandes Clientes
2021-06-12,28485.620206322255,58663.30249933918,43261.316191729406,1020013,Cerdo,Grandes Clientes
2021-06-13,-16040.061772061703,14133.763319132047,-1177.1125641589242,1020013,Cerdo,Grandes Clientes
2021-06-14,12840.265758218964,42020.32490562934,27892.69264994639,1020013,Cerdo,Grandes Clientes
2021-06-15,26012.21729373113,56266.925453428514,41490.44571217165,1020013,Cerdo,Grandes Clientes
2021-06-16,33636.06021033991,64974.10592166094,49036.050014214525,1020013,Cerdo,Grandes Clientes
2021-06-17,35655.82043214351,66547.7979059321,51323.293542677675,1020013,Cerdo,Grandes Clientes
2021-06-11,22703.40786075289,39476.81989581742,31426.234099529996,1020010,Cerdo,Grandes Clientes
2021-06-12,18562.82601304271,34605.364968396796,26306.09524964984,1020010,Cerdo,Grandes Clientes
2021-06-13,441.36825389479486,16988.773683163698,8877.487015530558,1020010,Cerdo,Grandes Clientes
2021-06-14,14579.093636437854,31098.67411823745,22719.635999829527,1020010,Cerdo,Grandes Clientes
2021-06-15,21330.622802200713,37263.73094664105,29513.424088281994,1020010,Cerdo,Grandes Clientes
2021-06-16,22316.027400349543,39238.086093009944,30905.356652957464,1020010,Cerdo,Grandes Clientes
2021-06-17,23834.481592741125,40954.92287052478,32759.931127447824,1020010,Cerdo,Grandes Clientes
2021-06-11,2911.4173178986894,13127.467619914509,7984.02169171728,1020003,Cerdo,Grandes Clientes
2021-06-12,893.7208428071035,11120.773454579072,6450.198849722311,1020003,Cerdo,Grandes Clientes
2021-06-13,-6504.509257558954,3833.004019878175,-1216.7113083793056,1020003,Cerdo,Grandes Clientes
2021-06-14,-2821.4353964068964,7778.584309582216,2602.849984736384,1020003,Cerdo,Grandes Clientes
2021-06-15,801.1027975885562,10378.930615250174,5528.127883783299,1020003,Cerdo,Grandes Clientes
2021-06-16,1787.2369615391435,11882.066154507687,6973.353792892553,1020003,Cerdo,Grandes Clientes
2021-06-17,2736.758290600678,13389.580172581458,8203.2833612962,1020003,Cerdo,Grandes Clientes
2021-06-11,10274.013830733535,20549.560879395893,15470.668863188854,1020001,Cerdo,Grandes Clientes
2021-06-12,8128.3297678081235,18141.608843896072,13189.288073363969,1020001,Cerdo,Grandes Clientes
2021-06-13,-2931.801273009396,7796.167042400484,2463.2390636172713,1020001,Cerdo,Grandes Clientes
2021-06-14,3544.3531908284554,13204.947383019402,8668.641393382835,1020001,Cerdo,Grandes Clientes
2021-06-15,6994.4108967114835,17212.744001739808,11956.948285899085,1020001,Cerdo,Grandes Clientes
2021-06-16,7917.613241816421,18091.700490936546,12602.101291297538,1020001,Cerdo,Grandes Clientes
2021-06-17,8613.241057809126,18492.412273744525,13595.700667213701,1020001,Cerdo,Grandes Clientes
2021-06-11,5828.700613898802,23653.22438367721,14460.589966752457,1010695,Pollo,Grandes Clientes
2021-06-12,1482.8348682539934,20371.498812481208,10829.8626801868,1010695,Pollo,Grandes Clientes
2021-06-13,-7729.785524018668,10947.430851092306,1289.2017255409883,1010695,Pollo,Grandes Clientes
