Cliente - Local.1;"Precio Pond CLP 
 Tipo de Semana 4";"Kilos Venta KG promedio 
 Tipo de Semana 4";"Precio Pond CLP 
 Tipo de Semana 3";"Kilos Venta KG promedio 
 Tipo de Semana 3";"Precio Pond CLP 
 Tipo de Semana 2";"Kilos Venta KG promedio 
 Tipo de Semana 2";"Precio Pond CLP 
 Tipo de Semana 1";"Kilos Venta KG promedio 
 Tipo de Semana 1";"Precio Pond CLP 
 Tipo de Semana 0";"Kilos Venta KG promedio 
 Tipo de Semana 0";Tipo de Semana 4;Tipo de Semana 3;Tipo de Semana 2;Tipo de Semana 1;Tipo de Semana 0
3200095490;;;4472.295790432208;19.0;4895.482628246903;19.0;4220.169319556851;17.333333333333332;4024.8579574430155;20.347826086956523;;2.0;1.0;1.6666666666666667;2.217391304347826
3200132597;;;;;5307.385170230729;125.0;;;;;;;3.0;;
31568;;;;;;;4751.091626440983;24.0;;;;;;3.0;
3200178711;;;;;;;4109.0;25.0;3590.0;29.5;;;;2.0;1.0
3200136158;;;4069.66421148484;19.0;5014.7703404614585;39.5;4355.9347580014255;38.833333333333336;3892.824567762106;49.2;;1.0;1.0;2.6666666666666665;2.2
3200146002;;;;;;;5381.394417627322;33.0;3300.216340282621;42.333333333333336;;;;4.0;0.6666666666666666
75660;;;;;5514.7703404614585;22.0;4404.077194204349;34.0;3058.1720566842605;60.833333333333336;;;2.0;2.8333333333333335;0.5
3200149812;;;4309.485489789141;76.0;5054.879029819267;149.16666666666666;4176.3684374018585;216.14285714285714;3095.6470150470986;239.42857142857142;;2.0;1.8333333333333333;2.5714285714285716;1.5714285714285714
6488;;;;;;;4091.394417627322;33.0;3383.4813206731155;29.5;;;;2.0;0.5
3200173589;;;;;;;4190.0;19.0;4115.229007633588;23.818181818181817;;;;2.0;2.1818181818181817
10343;;;4295.571702159395;44.333333333333336;5245.216055315793;65.0;4375.556957073581;53.625;3819.127834554316;31.91891891891892;;1.8333333333333333;2.1;2.6875;1.7837837837837838
3200173717;;;;;;;;;3436.9565217391305;23.0;;;;;1.0
3200173935;;;;;;;4590.0;22.0;3690.0;18.0;;;;3.0;1.0
3200141857;;;4422.295790432208;20.0;5098.935984633237;54.333333333333336;4334.534400074296;27.5;3703.201561331174;30.454545454545453;;2.0;1.6666666666666667;2.25;1.5454545454545454
3200143778;;;4574.0558021399065;59.666666666666664;4821.81732032723;29.8;4288.163542208114;27.529411764705884;3564.6044065674487;34.964285714285715;;2.1666666666666665;0.8;2.176470588235294;1.8928571428571428
55205;;;4472.295790432208;73.0;4851.334217113441;113.5;4288.021393394179;57.333333333333336;3373.664648241431;49.0;;2.0;1.5;2.6666666666666665;0.5
3200056271;;;;;;;;;3490.0;24.0;;;;;1.0
3200174117;;;;;;;;;3790.0;16.0;;;;;2.0
3200158214;;;;;;;;;3369.58301558837;16.0;;;;;1.0
3200081136;;;;;;;3591.394417627322;24.0;;;;;;1.0;
3200110151;;;;;5407.385170230729;19.0;3524.25224988879;20.5;3901.4737124746052;23.142857142857142;;;2.0;1.0;1.8571428571428572
3200025841;;;4304.11397225039;36.666666666666664;;;4232.788835254644;102.0;3638.277260175838;115.0;;1.3333333333333333;;3.0;2.6666666666666665
32575;;;;;;;4132.788835254644;102.0;3734.65220879802;48.2;;;;3.0;1.8
3200159049;5650.0;20.0;4588.780487804878;41.0;5840.462093307653;21.666666666666668;4570.172440079406;33.125;4420.676893530309;37.0;3.0;2.25;3.0;2.875;2.611111111111111
3200119128;;;4490.0;68.0;;;4464.902129963182;46.0;4406.826561109778;57.25;;2.0;;2.6666666666666665;2.75
3200051026;;;;;6612.385170230729;40.0;;;;;;;3.5;;
35156;;;;;;;;;2469.58301558837;16.0;;;;;0.0
3200115289;;;;;;;3782.7888352546447;96.0;;;;;;1.0;
3200089238;;;;;;;5281.394417627322;17.0;;;;;;4.0;
35592;;;;;;;4190.0;20.0;3500.0;16.0;;;;2.0;1.0
58388;;;4022.2957904322084;36.0;5014.7703404614585;42.0;3901.6480945139037;33.75;3607.002826278441;26.0;;1.0;1.0;1.0;1.25
3200158238;;;;;;;;;3245.1385711439257;30.0;;;;;0.6666666666666666
3200151635;;;4590.0;15.0;5757.385170230729;17.0;;;;;;2.0;3.0;;
14352;;;;;;;;;2360.492106497461;22.0;;;;;0.0
3200110652;;;4450.0;23.0;;;;;;;;2.0;;;
3200145293;;;4390.0;18.0;;;4183.5369028546875;38.0;;;;2.0;;2.0;
3200111596;;;;;;;3843.320682388402;157.0;3550.182217236137;74.42857142857143;;;;2.5;1.8571428571428572
13454;;;4550.0;32.0;5635.022731027419;28.0;4589.854991618047;51.333333333333336;3915.883935763792;88.875;;2.0;2.5;2.8333333333333335;2.875
3200167715;;;;;;;;;4100.0;24.0;;;;;2.0
58651;5661.6368018525445;37.8;5075.523492257134;27.333333333333332;5617.566937653794;24.285714285714285;4645.178641685437;23.155555555555555;4105.008484083745;27.703703703703702;2.2;3.1904761904761907;2.5714285714285716;2.977777777777778;2.314814814814815
3200162260;;;;;;;;;3559.5830155883705;19.0;;;;;1.0
3200178008;;;;;4800.0;34.0;;;3690.0;40.5;;;1.0;;1.5
76450;;;4172.295790432208;112.0;4514.7703404614585;76.0;3782.7888352546443;27.0;2962.7619710415192;217.0;;2.0;0.0;1.0;1.0
3200132670;;;3772.295790432209;82.5;4614.7703404614585;43.0;3883.934289800098;110.0;3830.6714075208256;77.5;;1.0;0.0;1.75;2.1666666666666665
3200100115;4905.993216317166;57.0;;;;;;;;;0.0;;;;
3200109750;;;4150.0;25.0;;;3463.4706534364623;44.0;2569.58301558837;39.0;;1.0;;1.5;0.0
3200006219;;;;;;;;;2569.58301558837;18.0;;;;;0.0
